"GEO_ID","NAME","P2_001N","P2_001NA","P2_002N","P2_002NA","P2_003N","P2_003NA","P2_004N","P2_004NA",
"Geography","Geographic Area Name"," !!Total:","Annotation of  !!Total:"," !!Total:!!Urban","Annotation of  !!Total:!!Urban"," !!Total:!!Rural","Annotation of  !!Total:!!Rural"," !!Total:!!Not defined for this file","Annotation of  !!Total:!!Not defined for this file",
"0500000US02090","Fairbanks North Star Borough, Alaska","95655","null","71396","null","24259","null","0","null",
"0500000US02100","Haines Borough, Alaska","2080","null","0","null","2080","null","0","null",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","2365","null","0","null","2365","null","0","null",
"0500000US02110","Juneau City and Borough, Alaska","32255","null","24756","null","7499","null","0","null",
"0500000US02122","Kenai Peninsula Borough, Alaska","58799","null","13288","null","45511","null","0","null",
"0500000US02130","Ketchikan Gateway Borough, Alaska","13948","null","11975","null","1973","null","0","null",
"0500000US02150","Kodiak Island Borough, Alaska","13101","null","9530","null","3571","null","0","null",
"0500000US02158","Kusilvak Census Area, Alaska","8368","null","0","null","8368","null","0","null",
"0500000US02164","Lake and Peninsula Borough, Alaska","1476","null","0","null","1476","null","0","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","107081","null","53444","null","53637","null","0","null",
"0500000US02180","Nome Census Area, Alaska","10046","null","0","null","10046","null","0","null",
"0500000US02185","North Slope Borough, Alaska","11031","null","0","null","11031","null","0","null",
"0500000US02188","Northwest Arctic Borough, Alaska","7793","null","0","null","7793","null","0","null",
"0500000US02195","Petersburg Borough, Alaska","3398","null","0","null","3398","null","0","null",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","5753","null","0","null","5753","null","0","null",
"0500000US02220","Sitka City and Borough, Alaska","8458","null","7668","null","790","null","0","null",
"0500000US02230","Skagway Municipality, Alaska","1240","null","0","null","1240","null","0","null",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","6808","null","0","null","6808","null","0","null",
"0500000US02275","Wrangell City and Borough, Alaska","2127","null","0","null","2127","null","0","null",
"0500000US02282","Yakutat City and Borough, Alaska","662","null","0","null","662","null","0","null",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","5343","null","0","null","5343","null","0","null",
"0500000US04001","Apache County, Arizona","66021","null","0","null","66021","null","0","null",
"0500000US04003","Cochise County, Arizona","125447","null","79323","null","46124","null","0","null",
"0500000US04005","Coconino County, Arizona","145101","null","98082","null","47019","null","0","null",
"0500000US04007","Gila County, Arizona","53272","null","29642","null","23630","null","0","null",
"0500000US04009","Graham County, Arizona","38533","null","18331","null","20202","null","0","null",
"0500000US04011","Greenlee County, Arizona","9563","null","0","null","9563","null","0","null",
"0500000US04012","La Paz County, Arizona","16557","null","9368","null","7189","null","0","null",
"0500000US04013","Maricopa County, Arizona","4420568","null","4318689","null","101879","null","0","null",
"0500000US04015","Mohave County, Arizona","213267","null","162227","null","51040","null","0","null",
"0500000US04017","Navajo County, Arizona","106717","null","38148","null","68569","null","0","null",
"0500000US04019","Pima County, Arizona","1043433","null","951173","null","92260","null","0","null",
"0500000US04021","Pinal County, Arizona","425264","null","327317","null","97947","null","0","null",
"0500000US04023","Santa Cruz County, Arizona","47669","null","19168","null","28501","null","0","null",
"0500000US04025","Yavapai County, Arizona","236209","null","160668","null","75541","null","0","null",
"0500000US04027","Yuma County, Arizona","203881","null","173094","null","30787","null","0","null",
"0500000US05001","Arkansas County, Arkansas","17149","null","8132","null","9017","null","0","null",
"0500000US05003","Ashley County, Arkansas","19062","null","7184","null","11878","null","0","null",
"0500000US05005","Baxter County, Arkansas","41627","null","17783","null","23844","null","0","null",
"0500000US05007","Benton County, Arkansas","284333","null","216081","null","68252","null","0","null",
"0500000US05009","Boone County, Arkansas","37373","null","13950","null","23423","null","0","null",
"0500000US05011","Bradley County, Arkansas","10545","null","5278","null","5267","null","0","null",
"0500000US05013","Calhoun County, Arkansas","4739","null","0","null","4739","null","0","null",
"0500000US05015","Carroll County, Arkansas","28260","null","5057","null","23203","null","0","null",
"0500000US05017","Chicot County, Arkansas","10208","null","0","null","10208","null","0","null",
"0500000US05019","Clark County, Arkansas","21446","null","10086","null","11360","null","0","null",
"0500000US05021","Clay County, Arkansas","14552","null","0","null","14552","null","0","null",
"0500000US05023","Cleburne County, Arkansas","24711","null","6743","null","17968","null","0","null",
"0500000US05025","Cleveland County, Arkansas","7550","null","0","null","7550","null","0","null",
"0500000US05027","Columbia County, Arkansas","22801","null","10403","null","12398","null","0","null",
"0500000US05029","Conway County, Arkansas","20715","null","6340","null","14375","null","0","null",
"0500000US05031","Craighead County, Arkansas","111231","null","73781","null","37450","null","0","null",
"0500000US05033","Crawford County, Arkansas","60133","null","30422","null","29711","null","0","null",
"0500000US05035","Crittenden County, Arkansas","48163","null","39313","null","8850","null","0","null",
"0500000US05037","Cross County, Arkansas","16833","null","7564","null","9269","null","0","null",
"0500000US05039","Dallas County, Arkansas","6482","null","0","null","6482","null","0","null",
"0500000US05041","Desha County, Arkansas","11395","null","4308","null","7087","null","0","null",
"0500000US05043","Drew County, Arkansas","17350","null","7974","null","9376","null","0","null",
"0500000US05045","Faulkner County, Arkansas","123498","null","66619","null","56879","null","0","null",
"0500000US05047","Franklin County, Arkansas","17097","null","0","null","17097","null","0","null",
"0500000US05049","Fulton County, Arkansas","12075","null","0","null","12075","null","0","null",
"0500000US05051","Garland County, Arkansas","100180","null","66335","null","33845","null","0","null",
"0500000US05053","Grant County, Arkansas","17958","null","4710","null","13248","null","0","null",
"0500000US05055","Greene County, Arkansas","45736","null","25089","null","20647","null","0","null",
"0500000US05057","Hempstead County, Arkansas","20065","null","8855","null","11210","null","0","null",
"0500000US05059","Hot Spring County, Arkansas","33040","null","8852","null","24188","null","0","null",
"0500000US05061","Howard County, Arkansas","12785","null","0","null","12785","null","0","null",
"0500000US05063","Independence County, Arkansas","37938","null","10913","null","27025","null","0","null",
"0500000US05065","Izard County, Arkansas","13577","null","0","null","13577","null","0","null",
"0500000US05067","Jackson County, Arkansas","16755","null","5947","null","10808","null","0","null",
"0500000US05069","Jefferson County, Arkansas","67260","null","46683","null","20577","null","0","null",
"0500000US05071","Johnson County, Arkansas","25749","null","7816","null","17933","null","0","null",
"0500000US05073","Lafayette County, Arkansas","6308","null","0","null","6308","null","0","null",
"0500000US05075","Lawrence County, Arkansas","16216","null","6540","null","9676","null","0","null",
"0500000US05077","Lee County, Arkansas","8600","null","0","null","8600","null","0","null",
"0500000US05079","Lincoln County, Arkansas","12941","null","0","null","12941","null","0","null",
"0500000US05081","Little River County, Arkansas","12026","null","0","null","12026","null","0","null",
"0500000US05083","Logan County, Arkansas","21131","null","0","null","21131","null","0","null",
"0500000US05085","Lonoke County, Arkansas","74015","null","35574","null","38441","null","0","null",
"0500000US05087","Madison County, Arkansas","16521","null","0","null","16521","null","0","null",
"0500000US05089","Marion County, Arkansas","16826","null","0","null","16826","null","0","null",
"0500000US05091","Miller County, Arkansas","42600","null","25600","null","17000","null","0","null",
"0500000US05093","Mississippi County, Arkansas","40685","null","22117","null","18568","null","0","null",
"0500000US05095","Monroe County, Arkansas","6799","null","0","null","6799","null","0","null",
"0500000US05097","Montgomery County, Arkansas","8484","null","0","null","8484","null","0","null",
"0500000US05099","Nevada County, Arkansas","8310","null","0","null","8310","null","0","null",
"0500000US05101","Newton County, Arkansas","7225","null","0","null","7225","null","0","null",
"0500000US05103","Ouachita County, Arkansas","22650","null","9873","null","12777","null","0","null",
"0500000US05105","Perry County, Arkansas","10019","null","0","null","10019","null","0","null",
"0500000US05107","Phillips County, Arkansas","16568","null","8599","null","7969","null","0","null",
"0500000US05109","Pike County, Arkansas","10171","null","0","null","10171","null","0","null",
"0500000US05111","Poinsett County, Arkansas","22965","null","7233","null","15732","null","0","null",
"0500000US05113","Polk County, Arkansas","19221","null","5534","null","13687","null","0","null",
"0500000US05115","Pope County, Arkansas","63381","null","27960","null","35421","null","0","null",
"0500000US05117","Prairie County, Arkansas","8282","null","0","null","8282","null","0","null",
"0500000US05119","Pulaski County, Arkansas","399125","null","353778","null","45347","null","0","null",
